ID;BOITE;ASSET;UPC;TITRE
1;21;GU000001;5051889014140;Invictus [Blu-ray]
2;21;GU000002;5051889005407;Gran Torino (César 2010 Du Meilleur Film Etranger) [Blu-ray]
3;21;GU000003;4006680054568;Kundun [Blu-ray]
4;21;GU000004;5050582894783;Out of Africa [Blu-ray]
5;21;GU000005;5050582794328;Gladiator
6;21;GU000006;5050582916829;Ours Polaires - Banquise En Peril - Blu-ray 3D
7;21;GU000007;5060195361831;The Alps - Climb of Your Life [BLU-RAY]
8;21;GU000008;5050582961539;Samsara [Blu-ray]
9;21;GU000009;5050582897371;Grand Canyon Adventure
10;21;GU000010;5051889066484;Le Docteur Jivago [Blu-ray]
11;21;GU000011;3333299201511;Lawrence D'Arabie [dition Double][Blu-ray]
12;21;GU000012;5050582767414;Appollo 13
13;21;GU000013;3607483178850;Le Grand Bleu [Blu-ray]
14;21;GU000014;3388330034269;Sept Ans Au Tibet [Blu-ray]
15;21;GU000015;5050582976700;AMISTAD
16;21;GU000016;5051889529842;Interstellar [Warner Ultimate ][Blu-ray]
17;21;GU000017;3388330038922;Danse Avec Les Loups [Blu-ray]
18;21;GU000018;3388330035822;Himalaya - L'enfance D'un Chef [Blu-ray]
19;21;GU000019;5051889064091;Mission [Blu-ray]
20;21;GU000020;5051889263258;Les révoltés du Bounty
21;21;GU000021;3512392700071;Nature [Blu-ray 3D]
22;21;GU000022;5053083006327;African Safari [Combo Blu-ray 3D + DVD]
23;21;GU000023;5050582948592;Notre Univers 3D [Blu-ray 3D]
24;17;GU000024;3512391763985;NASA : l'epopée de la conquête spatiale
25;17;GU000025;3384442071024;Parcs Nationaux Du Far West [Édition Prestige]
26;17;GU000026;3545020023792;Kenya Tanzanie - Coffret Prestige
27;17;GU000027;3760062469081;Héritage Du Monde : Les 50 Plus Beaux Sites De La Planète - Vol. 1 et 2 - Coffret 6 DVD
28;17;GU000028;9789937569231;Adventure Annapurna
29;17;GU000029;3384442077538;DVD Guides : New York - Manhattan, Démesure Et Passion
30;17;GU000030;3384442064606;DVD Guides : Ile De Pâques - Au-delà De La Cordillère
31;17;GU000031;3384442035743;DVD Guides : Chine, La Route De La Soie - Sur La Route De Marco Polo
32;17;GU000032;3384442019286;DVD Guides : USA, Côte Ouest Et Far West
33;17;GU000033;3384442229333;Argentine - Le Tango Des Gauchos
34;17;GU000034;3384442035453;DVD Guides : Maldives, Lune De Miel Avec L'Océan
35;17;GU000035;3512391729387;Croisières à La Découverte Du Monde : La Patagonie
36;17;GU000036;3333297561235;Beautiful Escapes: Istanbul, Samarkand - a Daydream [DVD] (2008) Marc Mopty
37;17;GU000037;3333297561242;Echapées Belles: Bergen North Cape - the Road Fjords [DVD] (2008)
